Product_name,Count_Colour,Gender,Price_before_Promotion (£),Promotion_Percentage (%),Price_after_Promotion (£)
"Nike Track ClubMen's Dri-FIT 3"" Brief-Lined Running Shorts",1,Male,44.95,,44.95
Nike Pro Dri-FITMen's Camo Tights,1,Male,44.95,,44.95
Jordan EssentialsMen's Gilet,1,Male,129.95,,129.95
Jordan EssentialsMen's Full-Zip Fleece Hoodie,1,Male,72.95,,72.95
Jordan EssentialsMen's Full-Zip Fleece Hoodie,1,Male,72.95,,72.95
Jordan EssentialsMen's Puffer Jacket,1,Male,204.95,,204.95
Nike YogaWomen's High-Waisted 13cm (approx.) Shorts,1,Female,37.95,,37.95
Nike Sportswear Tech PackMen's Short-sleeve Dri-FIT Top,5,Male,72.95,,72.95
Netherlands 2022/23 Stadium AwayWomen's Nike Dri-FIT Football Shirt,0,Female,79.95,,79.95
Paris Saint-Germain StrikeMen's Nike Dri-FIT Knit Football Top,2,Male,44.95,,44.95
Inter Milan 2023/24 Stadium HomeMen's Nike Dri-FIT Football Shirt,0,Male,79.95,,79.95
Nike Dri-FIT Academy 23Women's Football Shorts,8,Female,22.95,,22.95
Nike Dri-FIT VictoryMen's Golf Trousers,5,Male,64.95,,64.95
NikeCushioned Ankle Socks (3 Pairs),3,Unisex,10.95,,10.95
Nike Solo SwooshMen's 1/4-Zip Top,4,Male,82.95,,82.95
Nike Swoosh High SupportWomen's Non-Padded Adjustable Sports Bra,3,Female,49.95,,49.95
England ClubMen's Nike Football Pullover Crew,2,Male,59.9,29.0,42.53
Nike Dri-FIT SwiftWomen's Mid-Rise 8cm (approx.) 2-in-1 Running Shorts with Pockets,5,Female,59.95,,59.95
Jordan EssentialsMen's Shorts,5,Male,44.95,,44.95
JordanWomen's Graphic Girlfriend T-Shirt (Plus Size),1,Female,37.95,,37.95
Paris Saint-Germain Strike FourthMen's Jordan Dri-FIT ADV Knit Football Pants,1,Male,89.9,40.0,53.94
Nike SwimWomen's Cut-Out One-Piece Swimsuit,2,Female,62.95,,62.95
Nike PacerMen's 1/2-Zip Running Top,4,Male,39.95,,39.95
Jordan EssentialsMen's Fleece Shorts,4,Male,44.95,,44.95
Nike Dri-FITMen's Racing Trousers,1,Male,69.9,,69.9
Inter Milan Standard IssueWomen's Nike Dri-FIT Pullover Hoodie,1,Female,79.95,,79.95
Paris Saint-GermainMen's T-Shirt,1,Male,32.9,,32.9
Nike Storm-FIT SwiftWomen's Running Jacket,2,Female,129.95,,129.95
Nike Therma-FIT WindrunnerMen's Midweight Puffer Gilet,3,Male,89.95,,89.95
Nike SBEl Chino Skate Shorts,2,Unisex,69.95,,69.95
Nike Club AlumniMen's French Terry Shorts,6,Male,39.95,,39.95
Jordan FlightWomen's Velour Trousers,1,Female,89.9,40.0,53.94
Nike Alate MinimalistWomen's Light-Support Padded Sports Bra,5,Female,39.9,24.0,30.32
Nike Dri-FIT Swoosh FlyWomen's 1/4-Zip Basketball Sweatshirt,1,Female,99.9,40.0,59.94
Nike Dri-FIT (M)Women's Tank (Maternity),3,Female,39.95,,39.95
Nike Dri-FIT UV One LuxeWomen's Standard-Fit Short-Sleeve Top,5,Female,44.95,,44.95
Miami Heat Statement EditionJordan Dri-FIT NBA Swingman Jersey,1,Unisex,94.95,,94.95
Nike SportswearMen's Fleece Cardigan,1,Male,79.9,29.0,56.73
Zion Dri-FITMen's Trousers,1,Male,72.9,29.0,51.76
Nike StrideMen's Dri-FIT 13cm (approx.)Hybrid Running Shorts,5,Male,54.95,,54.95
Nike Sportswear Tech PackMen's Woven Hooded Jacket,2,Male,199.95,,199.95
Portugal 2023 Stadium HomeMen's Nike Dri-FIT Football Shirt,0,Male,79.95,,79.95
Nike RepelWomen's Trail-Running Jacket,1,Female,99.9,40.0,59.94
Nike SportswearWomen's Oversized Crew-Neck French Terry Sweatshirt,1,Female,72.95,,72.95
Liverpool F.C. Tech Fleece Windrunner ThirdMen's Nike Football Full-Zip Hoodie,1,Male,114.95,,114.95
Nike Solo SwooshWomen's Fleece Trousers,6,Female,72.95,,72.95
Nike SportswearWomen's Reversible Varsity Bomber Jacket (Plus Size),4,Female,139.95,,139.95
Nike OneWomen's Dri-FIT Ultra High-Waisted 8cm (approx.) Brief-Lined Shorts,4,Female,37.9,10.0,34.11
Nike Sportswear Gym VintageWomen's Shorts,1,Female,44.9,24.0,34.12
Nike Life Therma-FITMen's 3-in-1 Parka,3,Male,314.0,40.0,188.4
Nike Yoga Dri-FIT LuxeWomen's Shelf-Bra Cropped Tank,2,Female,44.95,,44.95
FFF 2022/23 Stadium HomeWomen's Nike Dri-FIT Football Shorts,1,Female,37.95,,37.95
NikeT-Shirt,4,Unisex,39.95,,39.95
Nike OneWomen's High-Rise Cropped Leggings,2,Female,39.95,,39.95
Nike Sportswear Sport EssentialsMen's Poly-Knit Tracksuit,2,Male,72.9,10.0,65.61
Nike Forward JacketWomen's 1/4-Zip Jacket,2,Female,144.95,,144.95
Nike UnlimitedMen's Dri-FIT 18cm (approx.) 2-in-1 Versatile Shorts,2,Male,59.95,,59.95
Nike One (M)Women's High-Waisted Leopard Print Leggings (Maternity),1,Female,64.9,40.0,38.94
Nike Dri-FITMen's 1/2-Zip Camo Running Top,1,Male,69.95,,69.95
Chelsea F.C. Strike EliteMen's Nike Dri-FIT ADV Football Pants,1,Male,89.95,,89.95
Nike Sportswear Club FleeceWomen's Oversized Cropped Full-Zip Jacket,2,Female,64.95,,64.95
Nike DryMen's Dri-FIT Taper Fitness Fleece Trousers,5,Male,54.95,,54.95
Nike Dri-FIT StrikeMen's Short-Sleeve Football Top,4,Male,37.95,,37.95
Nike ZenvyWomen's Gentle-Support Mid-Rise 7/8 Leggings,4,Female,89.95,,89.95
Nike Club FleeceMen's French Terry Flow Shorts,3,Male,37.95,,37.95
Nike Solo SwooshMen's Fleece Pullover Hoodie,10,Male,89.95,,89.95
Nike Sportswear RepeatMen's Pullover Fleece Hoodie,4,Male,64.9,40.0,38.94
Nike AirWomen's Printed Mesh Short-Sleeve Crop Top,3,Female,49.95,,49.95
Nike Air 'Goddess'T-Shirt,2,Unisex,39.95,,39.95
Jordan Flight MVPMen's Fleece Pullover Hoodie,3,Male,79.9,40.0,47.94
Nike Dri-FIT ADV AeroSwiftWomen's Racing Vest,2,Female,72.95,,72.95
Nike Sportswear Tech PackMen's Lined Woven Trousers,1,Male,112.95,,112.95
Nike Sportswear Club FleecePullover Hoodie,1,Unisex,59.95,,59.95
Jordan Dri-FIT SportMen's Golf Shorts,2,Male,72.95,,72.95
Nike SportswearMen's T-Shirt,2,Male,32.95,,32.95
Nike Yoga Dri-FITWomen's Long-Sleeve Top,1,Female,37.95,,37.95
Nike Pro Dri-FITWomen's Crop Tank Top,3,Female,37.95,,37.95
Nike SportswearMen's T-Shirt,6,Male,32.95,,32.95
Nike Sportswear Tech Pack Therma-FIT ADVMen's Insulated Woven Gilet,4,Male,134.95,,134.95
FFFWomen's Pullover Fleece Football Hoodie,1,Female,64.95,,64.95
Liverpool F.C. StrikeWomen's Nike Dri-FIT Knit Football Pants,1,Female,64.95,,64.95
Nike Sportswear Club FleeceWomen's Mid-Rise Joggers,5,Female,49.95,,49.95
Nike Dri-FITMen's Training Long-Sleeve T-Shirt,1,Male,37.9,,37.9
Nike Yoga LuxeWomen's Cropped Fleece Hoodie,1,Female,79.9,40.0,47.94
JordanMen's Long-Sleeve T-Shirt,1,Male,39.9,,39.9
Nike Sportswear EssentialWomen's High-Rise Woven Shorts,1,Female,44.95,,44.95
England CrestWomen's Nike T-Shirt,1,Female,27.95,,27.95
Jordan EssentialMen's Fleece Winter Trousers,1,Male,72.95,,72.95
Nike Sportswear TrendMen's Jumper,2,Male,114.0,40.0,68.4
Nike Alate TraceWomen's Light-Support Padded Strappy Sports Bra,6,Female,49.95,,49.95
Nike Sportswear Everyday ModernWomen's Asymmetrical Crop Tank,2,Female,44.95,,44.95
Nike Sportswear EssentialWomen's High-Waisted Graphic Leggings,1,Female,44.95,,44.95
Jordan Artist Series by Mia LeeWomen's Fleece Hoodie,1,Female,89.9,40.0,53.94
Nike Dri-FIT ADV Run DivisionWomen's Long-Sleeve Running Top,2,Female,84.95,,84.95
Nike Dri-FITWomen's Basketball Shorts,1,Female,54.9,29.0,38.98
Nike Sportswear Tech Fleece WindrunnerMen's Full-Zip Hoodie,9,Male,119.95,,119.95
Brazil 2023 Stadium HomeMen's Nike Dri-FIT Football Shirt,0,Male,79.95,,79.95
NikeCourt Dri-FIT AdvantageMen's Half-Zip Tennis Top,4,Male,64.95,,64.95
Nike Sportswear Tech PackMen's Dri-FIT Short-Sleeve Top,4,Male,72.95,,72.95
Nike Yoga LuxeWomen's Cropped Fleece Hoodie,1,Female,74.9,40.0,44.94
Tottenham Hotspur 2022/23 Stadium AwayMen's Nike Dri-FIT Football Shirt,1,Male,74.9,40.0,44.94
Nike Dri-FIT StrikeMen's Football Drill Top,4,Male,54.95,,54.95
Nike UniversaWomen's Medium-Support Mid-Rise 7/8 Leggings with Pockets,1,Female,89.95,,89.95
Nike Sportswear Club PrimaLoft®Men's Water-Repellent Puffer Gilet,2,Male,119.95,,119.95
NikeCourt Dri-FITMen's Tennis Polo,3,Male,49.95,,49.95
Jordan WordmarkMen's Long-Sleeve T-Shirt,6,Male,54.9,14.0,47.21
Nike Air MaxMen's Shorts,1,Male,44.95,,44.95
Nike AcademyOver-The-Calf Football Socks,5,Unisex,10.95,,10.95
Nike SportswearWomen's Woven Joggers,3,Female,64.95,,64.95
Nike FastWomen's 18cm (approx.) Mid-Rise Running Shorts,1,Female,31.9,24.0,24.24
Nike Everyday LightweightTraining Crew Socks (3 Pairs),2,Unisex,13.95,,13.95
Nike Sportswear Everyday ModernWomen's Asymmetrical Tank Dress,1,Female,49.9,19.0,40.42
Los Angeles LakersMen's Nike NBA T-Shirt,1,Male,29.95,,29.95
Nike Sportswear SwooshWomen's Woven Shorts,2,Female,49.95,,49.95
Jordan SportWomen's 13cm (approx.) Shorts,2,Female,37.95,,37.95
Nike Sportswear x Nike UnitedWomen's Tracksuit Skirt,1,Female,72.95,,72.95
Nike Life Therma-FITMen's Puffer Jacket,2,Male,269.0,40.0,161.4
Nike SBFleece Skate Crew,1,Unisex,69.95,,69.95
Nike Sportswear Club FleeceWomen's Mid-Rise Wide-Leg Tracksuit Bottoms,2,Female,49.95,,49.95
Nike Therma-FIT Repel ChallengerMen's Running Trousers,1,Male,69.9,40.0,41.94
Nike ClubMen's Woven Cargo Trousers,5,Male,64.95,,64.95
JordanWomen's Tank,5,Female,32.95,,32.95
Nike Trail Lava LoopsMen's Dri-FIT Running 1/2-length Tights,1,Male,72.95,,72.95
Nike TotalityMen's Dri-FIT Tapered Versatile Trousers,1,Male,44.95,,44.95
Tottenham Hotspur Strike EliteMen's Nike Dri-FIT ADV Knit Football Pants,1,Male,99.95,,99.95
Atlético Madrid 2022/23 Stadium Home/AwayOver-the-Calf Football Socks,1,Unisex,16.95,,16.95
Nike SportswearMen's Fleece Joggers,3,Male,54.95,,54.95
Nike Sportswear Phoenix FleeceWomen's Over-Oversized Mock-Neck 3/4-Sleeve Sweatshirt,4,Female,59.9,40.0,35.94
Jordan BrooklynWomen's Fleece Trousers,2,Female,69.9,40.0,41.94
Nike IconMen's Dri-FIT Basketball Jersey,2,Male,27.95,,27.95
Jordan FlightWomen's Fleece Hoodie,1,Female,79.9,,79.9
Nike Dri-FIT SwooshWomen's Short-Sleeve Running Top,3,Female,32.9,24.0,25.0
Jordan Dri-FIT SportMen's Air Fleece Trousers,2,Male,82.95,,82.95
Nike Everyday PlusCushioned Crew Socks (2 Pairs),1,Unisex,17.95,,17.95
Nike StrikeFootball Crew Socks,5,Unisex,10.95,,10.95
Jordan Flight MVPMen's Mesh Shorts,4,Male,49.95,,49.95
Nike ACGMen's T-Shirt,2,Male,44.95,,44.95
Nike Sportswear Phoenix FleeceWomen's Oversized Pullover Hoodie (Plus Size),14,Female,59.95,,59.95
Nike ZenvyWomen's Gentle-Support Mid-Rise Full-Length Leggings,3,Female,89.95,,89.95
Jordan Wings ParisMen's Pullover Hoodie,1,Male,69.95,,69.95
Nike Dri-FIT TourMen's Floral Golf Polo,4,Male,69.95,,69.95
NikeT-Shirt,3,Unisex,39.95,,39.95
Nike ACGMen's T-Shirt,5,Male,39.95,,39.95
Nike FastWomen's Mid-Rise 7/8 Leggings (Plus Size),3,Female,49.95,,49.95
NetherlandsMen's Knit Football Pants,1,Male,69.9,40.0,41.94
Australia Repel EssentialWomen's Nike Mid-Rise Graphic Joggers,1,Female,89.95,,89.95
Nike Sportswear AuthenticsMen's Tracksuit Bottoms,1,Male,89.9,29.0,63.83
Paris Saint-GermainWomen's Cropped Football T-Shirt,1,Female,27.9,19.0,22.6
Nike Yoga Dri-FIT LuxeWomen's Tank Top,2,Female,59.95,,59.95
Nike Zenvy (M)Women's Gentle-support High-waisted 20cm (approx.) Biker Shorts with Pockets (Maternity),3,Female,69.95,,69.95
Jordan EssentialsMen's Fleece Crew-Neck Sweatshirt,3,Male,59.95,,59.95
NikeCourt Dri-FIT SlamWomen's Tennis Dress,1,Female,112.95,,112.95
Nike Epic FastWomen's Mid-Rise Pocket Running Leggings,2,Female,49.95,,49.95
All-Star CourtsideMen's Nike NBA Max90 T-Shirt,1,Male,37.95,,37.95
Nike ZenvyWomen's Gentle-Support High-Waisted Full-Length Leggings (Plus Size),8,Female,89.95,,89.95
Nike Dri-FIT ADV AeroSwiftMen's Racing Tights,2,Male,99.95,,99.95
Liverpool F.C. StrikeMen's Nike Dri-FIT Football Tracksuit Jacket,1,Male,69.95,,69.95
Nike Sportswear Club EssentialsWomen's T-Shirt (Plus Size),5,Female,24.95,,24.95
Jordan x Eastside GolfMen's Trousers,1,Male,114.95,,114.95
NikeWomen's Sheer Crew Socks (1 Pair),1,Female,16.95,,16.95
Nike Dri-FITTrail-Running Crew Socks,3,Unisex,22.95,,22.95
Paris Saint-GermainMen's Woven Trousers,2,Male,89.95,,89.95
F.C. Barcelona Strike EliteWomen's Nike Dri-FIT ADV Football Pants,1,Female,89.9,40.0,53.94
Nike Dri-FIT One BreatheWomen's Short-Sleeve Top,1,Female,37.9,10.0,34.11
Jordan SportWomen's Cropped T-Shirt,6,Female,37.95,,37.95
Nike Dri-FIT ClubWomen's Printed Tennis Skirt,1,Female,69.9,40.0,41.94
Sabrina Ionescu New York Liberty 2023Women's Nike Dri-FIT WNBA Victory Jersey,1,Female,84.9,29.0,60.28
NikeWomen's Half-Zip Running Top,1,Female,59.95,,59.95
NikeCourt Dri-FIT SlamMen's Tennis Shorts,1,Male,64.95,,64.95
Los Angeles Lakers Standard IssueMen's Nike Dri-FIT NBA Sweatshirt,1,Male,72.95,,72.95
NikeCourt Dri-FIT SlamMen's Tennis Top,3,Male,72.95,,72.95
Nike Tech Fleece LightweightMen's Long-Sleeve Top,2,Male,64.95,,64.95
Nike Sportswear EssentialsWomen's Woven High-Rise Trousers,3,Female,82.95,,82.95
Nike Dri-FIT Flex Rep Pro CollectionMen's 20cm (approx.) Unlined Training Shorts,3,Male,69.95,,69.95
Nike Club FleeceMen's Harrington Jacket,2,Male,72.9,29.0,51.76
Nike AirMen's Brushed-Back Fleece Joggers,1,Male,64.95,,64.95
Nike Trail Solar ChaseMen's Dri-FIT Short-Sleeve Running Top,2,Male,54.9,29.0,38.98
Nike Therma-FIT ADV City ReadyWomen's Training Trousers,1,Female,144.0,40.0,86.4
Team 31Men's Nike NBA T-Shirt,2,Male,32.95,,32.95
NikeCourt Dri-FITMen's Tennis Polo,4,Male,39.95,,39.95
Nike Dri-FIT OneWomen's Slim-Fit Short-Sleeve Top,2,Female,32.95,,32.95
Nike Sportswear WindrunnerMen's Therma-FIT Midweight Puffer Jacket,4,Male,139.95,,139.95
Nike Dri-FITMen's Long-Sleeve Fitness Top,4,Male,69.95,,69.95
Nike Club FleeceMen's Pullover Hoodie,1,Male,64.9,29.0,46.08
Nike LifeMen's Woven P44 Cargo Shorts,1,Male,79.9,,79.9
Jordan Flight MVPMen's Jacket,3,Male,109.0,40.0,65.4
Jordan Flight MVPMen's Woven Trousers,1,Male,79.9,40.0,47.94
Jordan Brooklyn FleeceWomen's Trousers,5,Female,64.95,,64.95
Jordan EssentialsMen's Fleece Pullover Hoodie,2,Male,72.9,,72.9
Nike Dri-FIT ADV AuraWomen's Slim-Fit Short-Sleeve Top,1,Female,54.9,40.0,32.94
NikeMen's Dri-FIT Running Crew Top,3,Male,54.95,,54.95
Türkiye 2022/23 Stadium HomeWomen's Nike Dri-FIT Football Shirt,1,Female,74.95,,74.95
Nike Sportswear Tech PackMen's High-Pile Fleece Jacket,3,Male,119.95,,119.95
Nike Swoosh Light SupportWomen's Non-Padded Sports Bra,7,Female,32.95,,32.95
Nike Dri-FIT ADV AeroSwiftMen's 1/2-Length Racing Tights,1,Male,69.95,,69.95
Nike LifeMen's Harrington Jacket,1,Male,109.0,29.0,77.39
Nike Tempo LuxeWomen's 2-In-1 Running Shorts,1,Female,39.9,29.0,28.33
Nike EssentialMen's 13cm (approx.) Lap Volley Swimming Shorts,4,Male,34.95,,34.95
Jordan Brooklyn FleeceWomen's Trousers,2,Female,72.95,,72.95
Nike One (M)Women's High-Waisted Leggings (Maternity),2,Female,59.9,40.0,35.94
Chelsea F.C. StrikeMen's Nike Dri-FIT Knit Football Top,2,Male,44.95,,44.95
Nike Dri-FIT UnscriptedMen's Golf Polo,1,Male,54.95,,54.95
Nike SportswearWomen's Sleeveless Jersey Wave-Dye Top (Plus Size),3,Female,54.9,19.0,44.47
Nike OutdoorCushioned Crew Socks,1,Unisex,19.95,,19.95
Spain Nike (Road) LimitedMen's Basketball Shorts,1,Male,64.95,,64.95
Jordan FlightWomen's Velour Jacket (Plus size),2,Female,99.9,40.0,59.94
Jordan 23 EngineeredMen's Utility Top,1,Male,69.9,40.0,41.94
Nike SportswearMen's Lightweight Woven Jacket,3,Male,72.95,,72.95
Nike ProWomen's Graphic Mid-Rise Leggings,1,Female,49.9,40.0,29.94
Nike Dri-FIT OneWomen's Standard-Fit Short-Sleeve Top (Plus Size),9,Female,32.95,,32.95
"Nike ACG ""Sun Farer""Men's Jacket",1,Male,169.95,,169.95
Nike TotalityMen's Dri-FIT 23cm (approx.) Unlined Versatile Shorts,2,Male,32.95,,32.95
Netherlands 2022/23 Match HomeMen's Nike Dri-FIT ADV Football Shirt,0,Male,114.0,40.0,68.4
"Nike ACG Therma-FITWomen's ""Tuff Knit"" Fleece Hoodie",4,Female,104.95,,104.95
Nike SportswearMen's T-Shirt,4,Male,37.95,,37.95
Jordan Artist Series by Umar RashidMen's Long-Sleeve T-Shirt,2,Male,39.95,,39.95
Nike MultiplierRunning Ankle Socks (2 Pairs),4,Unisex,16.95,,16.95
Nike FormMen's Dri-FIT Tapered Versatile Trousers,1,Male,54.95,,54.95
Nike AuthenticsMen's Warm-Up Top,2,Male,79.9,29.0,56.73
Nike Solo SwooshMen's Fleece Trousers,9,Male,72.95,,72.95
Jordan Flight HeritageMen's Jacket,2,Male,179.0,40.0,107.4
Jordan JumpmanMen's Short-Sleeve T-Shirt,7,Male,27.95,,27.95
Jordan Dri-FIT SportMen's Top,2,Male,69.9,40.0,41.94
Nike SportswearWomen's Sports Utility T-shirt,3,Female,39.95,,39.95
Galatasaray Academy ProMen's Nike Dri-FIT Short-Sleeve Football Top,1,Male,41.95,,41.95
JordanWomen's Cinch Top,1,Female,44.9,40.0,26.94
